Store,Date,Weakly Sales
1,2/5/2010,1459601.17
1,2/12/2010,1621031.7
1,2/19/2010,1604775.58
1,2/26/2010,1527014.04
1,3/5/2010,1508237.76
1,3/12/2010,1391013.96
1,3/19/2010,1494251.5
1,3/26/2010,1517428.87
1,4/2/2010,1493525.93
1,4/9/2010,1559889
1,4/16/2010,1630607
1,4/23/2010,1455119.97
1,,"$1,459,409.10000"
1,5/7/2010,"$1,677,472.78000"
1,5/14/2010,"$1,466,058.28000"
1,5/21/2010,1448938.92
1,5/28/2010,1514259.78
1,6/4/2010,1881176.67
1,6/11/2010,1819870
1,6/18/2010,1532114.86
1,6/25/2010,1597868.05
1,7/2/2010,1430378.67
1,7/9/2010,1891034.93
1,7/16/2010,1686842.78
1,7/23/2010,1576818.06
1,7/30/2010,1595901.87
1,8/6/2010,1503284.06
1,8/13/2010,1539483.7
1,8/20/2010,1611968.17
1,8/27/2010,1472515.79
1,9/3/2010,1530761.43
1,9/10/2010,1508068.77
1,9/17/2010,1483784.18
1,9/24/2010,1394393.84
1,10/1/2010,1521577.87
1,10/8/2010,1428218.27
1,10/15/2010,1497954.76
1,10/22/2010,1513080.49
1,10/29/2010,1327405.42
1,11/5/2010,1399662.07
1,11/12/2010,1506126.06
1,11/19/2010,1502562.78
1,11/26/2010,1564819.81
1,12/3/2010,1527845.81
1,12/10/2010,1396926.82
1,12/17/2010,1345454
1,12/24/2010,1511068.07
1,12/31/2010,1391256.12
1,1/7/2011,1385065.2
1,1/14/2011,1380020.27
1,1/21/2011,2270188.99
1,1/28/2011,1539387.83
1,2/4/2011,1438830.15
1,2/11/2011,1494122.38
1,2/18/2011,1351791.03
1,2/25/2011,2387950.2
1,3/4/2011,1456800.28
1,3/11/2011,1541102.38
1,3/18/2011,1555444.55
1,3/25/2011,1422711.6
1,4/1/2011,2033320.66
1,4/8/2011,1409727.59
1,4/15/2011,1404429.92
1,4/22/2011,1464693.46
1,4/29/2011,1493659.74
1,5/6/2011,1955624.11
1,5/13/2011,1319325.59
1,5/20/2011,1468928.37
1,5/27/2011,1466046.67
1,6/3/2011,1439123.71
1,6/10/2011,1449142.92
1,6/17/2011,1316899.31
1,6/24/2011,1432069.95
1,7/1/2011,1437059.26
1,7/8/2011,1445249.09
1,7/15/2011,1455090.69
1,7/22/2011,1540421.49
1,7/29/2011,1352219.79
1,8/5/2011,1384209.22
1,8/12/2011,1649604.63
1,8/19/2011,1425100.71
1,8/26/2011,1371986.6
1,9/2/2011,1394561.83
1,9/9/2011,1497462.72
1,9/16/2011,1582083.4
1,9/23/2011,1367320.01
1,9/30/2011,1453329.5
1,10/7/2011,1594968.28
1,10/14/2011,1492418.14
1,10/21/2011,1540163.53
1,10/28/2011,1548033.78
1,11/4/2011,1615524.71
1,11/11/2011,1643690.9
1,11/18/2011,1554806.68
1,11/25/2011,1551659.28
1,12/2/2011,1605491.78
1,12/9/2011,"1,603,955.12"
1,12/16/2011,1508239.93
1,12/23/2011,1545418.53
1,12/30/2011,1546074.18
1,1/6/2012,1507460.69
1,1/13/2012,1682614.26
1,1/20/2012,1542561.09
1,1/27/2012,"$1,641,957.44000"
1,2/3/2012,1439541.59
1,2/10/2012,1494479.49
1,2/17/2012," $1,495,064.75 "
1,,1488538.09
1,3/2/2012,1550229.22
1,3/9/2012,1584083.95
1,3/16/2012,"$1,635,078.41000"
1,3/23/2012,1606629.58
1,3/30/2012,1636263.41
1,4/6/2012,1697229.58
1,4/13/2012,1624383.75
1,4/20/2012,1629391.28
1,4/27/2012,"1,444,732.28"
1,5/4/2012,1630989.95
1,5/11/2012,1614259.35
1,5/18/2012," $1,534,849.64 "
1,5/25/2012,1540471.24
1,6/1/2012,1799682.38
1,6/8/2012,1588948.32
1,6/15/2012,1649614.93
1,6/22/2012,1553191.63
1,6/29/2012,1594938.89
1,7/6/2012,1525147.09
1,7/13/2012,1624477.58
1,7/20/2012,1688420.76
1,7/27/2012,1636339.65
1,8/3/2012,1631135.79
1,8/10/2012,1684519.99
1,8/17/2012,1670785.97
1,8/24/2012,1550369.92
1,8/31/2012,1899676.88
1,9/7/2012,1769854.16
1,9/14/2012,1661767.33
1,9/21/2012,1697230.96
1,9/28/2012,1675431.16
1,10/5/2012,1802477.43
1,10/12/2012,1592409.97
1,10/19/2012,1611096.05
1,10/26/2012,1573072.81
1,11/2/2012,3564991
1,11/9/2012,1744725.48
1,11/16/2012,1935869.1
1,11/23/2012,1838513.07
1,11/30/2012,1830075.13
1,12/7/2012,1895601.05
1,12/14/2012,1744193.58
1,12/21/2012,1880752.36
1,12/28/2012,1814806.63
1,1/4/2013,1743882.19
1,1/11/2013,1856467.84
1,1/18/2013,1962924.3
1,1/25/2013,1785187.29
1,2/1/2013,1794355.49
1,2/8/2013,1976082.13
1,2/15/2013,1874957.94
1,2/22/2013,1845879.79
1,3/1/2013,1691439.52
1,3/8/2013,2432736.52
1,3/15/2013,2196688.46
1,3/22/2013,1953771.99
1,3/29/2013,1928016.01
1,4/5/2013,1793903.6
1,4/12/2013,2609166.75
1,4/19/2013,2080884.82
1,4/26/2013,1902557.66
1,5/3/2013,2000940.67
1,5/10/2013,2001636.96
1,5/17/2013,1902762.5
1,5/24/2013,2124451.54
1,5/31/2013,1946070.88
1,6/7/2013,1844094.59
1,6/14/2013,1847990.41
1,6/21/2013,1956739.17
1,6/28/2013,1711769.11
1,7/5/2013,1847344.45
1,7/12/2013,1688281.86
1,7/19/2013,1819666.46
1,7/26/2013,1964335.23
2,2/5/2010,1751384.9
2,2/12/2010,1896937.1
2,2/19/2010,1829415.67
2,2/26/2010,1834680.25
2,3/5/2010,1886339.6
2,3/12/2010,1887733.21
2,3/19/2010,1743816.41
2,3/26/2010,1737947.64
2,4/2/2010,1790439.16
2,4/9/2010,1821990.93
2,4/16/2010,1781717.71
2,4/23/2010,1669299.78
2,4/30/2010,3224369.8
2,5/7/2010,1861802.7
2,5/14/2010,1790925.8
2,5/21/2010,"$1,876,788.15000"
2,5/28/2010,1724557.22
2,6/4/2010,3436007.68
2,6/11/2010,1833511.08
2,6/18/2010,1766162.05
2,6/25/2010,1912791.09
2,7/2/2010,1939927.09
2,7/9/2010,2614202.3
2,7/16/2010,"$1,865,097.27000"
2,7/23/2010,1750197.81
2,7/30/2010,1821139.91
2,8/6/2010,1834458.35
2,8/13/2010,2658725.29
2,8/20/2010,1660906.14
2,8/27/2010,1764133.09
2,9/3/2010,1797732.56
2,9/10/2010,1757923.88
2,9/17/2010,1863840.49
2,9/24/2010,1695371.68
2,10/1/2010,1957113.89
2,10/8/2010,1746470.56
2,10/15/2010,1769296.25
2,10/22/2010,"1,745,545.28"
2,10/29/2010,1881046.12
2,11/5/2010,1680693.06
2,11/12/2010,1802755.11
2,11/19/2010,1857480.84
2,11/26/2010,1802450.29
2,12/3/2010,1804246.16
2,12/10/2010,1650394.44
2,12/17/2010,1874226.52
2,12/24/2010,1947083.3
2,12/31/2010,1750434.55
2,1/7/2011,1827440.43
2,1/14/2011,2066187.72
2,1/21/2011,2003940.64
2,1/28/2011,1904608.09
2,2/4/2011,2015781.27
2,2/11/2011,2102539.93
2,2/18/2011,"2,136,989.46"
2,2/25/2011,1991013.13
2,3/4/2011,1939061.41
2,3/11/2011,1991909.98
2,3/18/2011,2042581.71
2,3/25/2011,1849921.44
2,4/1/2011,1954689.21
2,4/8/2011,1880902.62
2,4/15/2011,1839128.83
2,4/22/2011,2378726.55
2,4/29/2011,2025538.76
2,5/6/2011,2137809.5
2,5/13/2011,"1,990,483.78"
2,5/20/2011,1916812.74
2,5/27/2011,1800171.36
2,6/3/2011,1866243
2,6/10/2011,1809119.7
2,6/17/2011,1954952
2,6/24/2011,1933756.21
2,7/1/2011,1929346.23
2,7/8/2011,1981607.78
2,7/15/2011," $1,959,707.90 "
2,7/22/2011,1876704.26
2,7/29/2011,1837743.6
2,8/5/2011,1758050.79
2,8/12/2011,1837553.43
2,8/19/2011,1847552.61
2,8/26/2011,1853161.99
2,9/2/2011,1748000.65
2,9/9/2011,2290549.32
2,9/16/2011," $1,929,153.16 "
2,9/23/2011,2168041.61
2,9/30/2011,1879107.31
2,10/7/2011,1920725.15
2,10/14/2011,1812768.26
2,10/21/2011,1910092.37
2,10/28/2011,1952555.66
2,11/4/2011,1935299.94
2,11/11/2011,1946104.64
2,11/18/2011,1923957.09
2,11/25/2011,1998321.04
2,12/2/2011,1799520.14
2,12/9/2011,2129035.91
2,12/16/2011,2041507.4
2,12/23/2011,1898777.07
2,12/30/2011,2010216.49
2,,1937628.26
2,1/13/2012,2103322.68
2,1/20/2012,1866719.96
2,1/27/2012,1917520.99
2,2/3/2012,1900745.13
2,2/10/2012,2321754
2,2/17/2012,367438.62
2,2/24/2012,420789.74
2,3/2/2012,386312.68
2,3/9/2012,416913.1
2,3/16/2012,339597.38
2,3/23/2012,381061.1
2,3/30/2012,384357.94
2,4/6/2012,407589.16
2,4/13/2012,"$368,282.57000"
2,4/20/2012,366250.69
2,4/27/2012,442074.79
2,5/4/2012,373454.33
2,5/11/2012,345584.39
2,5/18/2012,411775.8
2,5/25/2012,354993.26
2,6/1/2012,352728.78
2,6/8/2012,375629.51
2,6/15/2012,510747.62
2,6/22/2012,475591.08
2,6/29/2012,403423.34
2,7/6/2012,394918.83
2,7/13/2012,363064.64
2,7/20/2012,498159.39
2,7/27/2012,432782.1
2,8/3/2012,392109.51
2,8/10/2012,418112.76
2,8/17/2012,364076.85
2,8/24/2012,398838.97
2,8/31/2012,421642.19
2,9/7/2012,375328.59
2,9/14/2012,379716.91
2,9/21/2012,424513.08
2,9/28/2012,372545.32
2,10/5/2012,365818.61
2,10/12/2012,434822.13
2,10/19/2012,364603.13
2,10/26/2012,432424.85
2,11/2/2012,351728.21
2,11/9/2012,350876.7
2,11/16/2012,343763.17
2,11/23/2012,414392.09
2,11/30/2012,394976.36
2,12/7/2012,391860.04
2,12/14/2012,419497.95
2,12/21/2012,360617.37
2,12/28/2012,348895.98
2,1/4/2013,413907.25
2,1/11/2013,339976.65
2,1/18/2013,352864.49
2,1/25/2013,365248.94
2,2/1/2013,551221.21
2,2/8/2013,418925.47
2,2/15/2013,385520.71
2,2/22/2013,412449.67
2,3/1/2013,355626.87
2,3/8/2013,605990.41
2,3/15/2013,397211.19
2,3/22/2013,380683.67
2,3/29/2013,413701.29
2,4/5/2013,357346.48
2,4/12/2013,556925.19
2,4/19/2013,407204.86
2,4/26/2013,359949.27
2,5/3/2013,366367.55
2,5/10/2013,405432.7
2,5/17/2013,565567.84
2,5/24/2013,349518.1
2,5/31/2013,394616.11
2,6/7/2013,369350.6
2,6/14/2013,389427.9
2,6/21/2013,362134.09
2,6/28/2013,364866.24
2,7/5/2013,350089.23
2,7/12/2013,389813.02
2,7/19/2013,389540.62
2,7/26/2013,367405.4
3,2/5/2010,422965.33
3,2/12/2010,345381.29
3,2/19/2010,348591.74
3,2/26/2010,407488.84
3,3/5/2010,361248.39
3,3/12/2010,347955.05
3,3/19/2010,368477.93
3,3/26/2010,410553.88
3,4/2/2010,408838.73
3,4/9/2010,382677.76
3,4/16/2010,358784.1
3,4/23/2010,423294.4
3,4/30/2010,381151.72
3,5/7/2010,366473.97
3,5/14/2010,476420.77
3,5/21/2010,396968.8
3,5/28/2010,"$461,622.22000"
3,6/4/2010,415202.04
3,6/11/2010,423175.56
3,6/18/2010,402635.76
3,6/25/2010,399323.86
3,7/2/2010,395107.35
3,7/9/2010,415870.28
3,7/16/2010,349214.18
3,7/23/2010,352260.97
3,7/30/2010,467642.03
3,8/6/2010,355017.09
3,8/13/2010,420728.96
3,,384200.69
3,8/27/2010,386635.03
3,9/3/2010,374556.08
3,9/10/2010,368962.72
3,9/17/2010,"$375,988.69000"
3,9/24/2010,472511.32
3,10/1/2010,394507.84
3,10/8/2010,438516.53
3,10/15/2010,437084.51
3,10/22/2010,459443.22
3,10/29/2010,409981.25
3,11/5/2010,413042.12
3,11/12/2010,378241.34
3,11/19/2010," $403,342.40 "
3,11/26/2010,384075.31
3,12/3/2010,395146.24
3,12/10/2010,377347.49
3,12/17/2010,468772.8
3,12/24/2010,391638.75
3,12/31/2010,430526.21
3,1/7/2011," $404,753.30 "
3,1/14/2011,407764.25
3,1/21/2011,380376.85
3,1/28/2011,432268.53
3,2/4/2011,469752.56
3,2/11/2011,424960.66
3,2/18/2011,419990.29
3,2/25/2011,439913.57
3,3/4/2011,443557.65
3,3/11/2011,398178.21
3,3/18/2011,503232.13
3,3/25/2011,411206.5
3,4/1/2011,408229.73
3,4/8/2011,446336.8
3,4/15/2011,445162.05
3,4/22/2011,"473,292.47"
3,4/29/2011,391811.6
3,5/6/2011,431985.36
3,5/13/2011,410804.39
3,5/20/2011,1449520.762
3,5/27/2011,1586063.92
3,6/3/2011,351499.4459
3,6/10/2011,926395.7542
3,6/17/2011,721157.165
3,6/24/2011,539709.2726
3,7/1/2011,75059.54685
3,7/8/2011,68331.6634
3,7/15/2011,698913.6659
3,7/22/2011,1506795.105
3,7/29/2011,1081371.908
3,8/5/2011,802185.5264
3,8/12/2011,1524319.874
3,8/19/2011,21247.55737
3,8/26/2011,973922.9169
3,9/2/2011,"990,869.92"
3,9/9/2011,151856.6834
3,9/16/2011,737446.6634
3,9/23/2011,16976.44973
3,9/30/2011,719343.1678
3,10/7/2011,867634.2197
3,10/14/2011,889395.1409
3,10/21/2011,1918803.167
3,10/28/2011,1659546.334
3,11/4/2011,518502.7219
3,11/11/2011,215692.0531
3,11/18/2011,54426.61748
3,11/25/2011,1062394.681
3,12/2/2011,1870918.071
3,12/9/2011,1058684.365
3,12/16/2011,227353.5665
3,12/23/2011,927527.541
3,12/30/2011,898882.2844
3,1/6/2012,432636.7743
3,1/13/2012,1536770.517
3,1/20/2012,1268928.3
3,1/27/2012,1040154.768
3,2/3/2012,857197.4888
3,2/10/2012,1218380.911
3,2/17/2012,1250333.681
3,2/24/2012,457723.5023
3,3/2/2012,720643.4669
3,3/9/2012,1447215.038
3,3/16/2012,501794.3728
3,3/23/2012,621229.8352
3,3/30/2012,1333666.513
3,4/6/2012,369562.6894
3,4/13/2012,1720602.827
3,4/20/2012,437833.9945
3,4/27/2012,860834.389
3,5/4/2012,417916.4192
3,5/11/2012,310769.5705
3,5/18/2012,1275389.977
3,5/25/2012,1659888.485
3,6/1/2012,682789.6008
3,6/8/2012,1083023.852
3,6/15/2012,1277805.409
3,6/22/2012,365295.7335
3,6/29/2012,302127.1317
3,7/6/2012,771189.0507
3,7/13/2012,845722.0794
3,7/20/2012,234912.4955
3,7/27/2012,1173069.514
3,8/3/2012,1773685.797
3,8/10/2012,1594234.379
3,8/17/2012,540368.344
3,8/24/2012," $776,278.13 "
3,8/31/2012,39440.82779
3,9/7/2012,270602.2314
3,9/14/2012,1012998.371
3,9/21/2012,530453.432
3,9/28/2012,1685568.397
3,10/5/2012,747054.6522
3,10/12/2012,1773124.112
3,10/19/2012,268381.069
3,10/26/2012,888414.5085
3,11/2/2012,1110133.58
3,11/9/2012,56189029.7
3,11/16/2012,283997.1257
3,11/23/2012,16707.18924
3,11/30/2012,73927.8076
3,12/7/2012,221522.725
3,12/14/2012,187235.6644
3,12/21/2012,366408.5509
3,12/28/2012,76905.08766
3,1/4/2013," $325,161.87 "
3,1/11/2013,204109.6512
3,1/18/2013,224443.576
3,1/25/2013,77879.42605
3,2/1/2013,301023.9483
3,2/8/2013,158764.9018
3,2/15/2013,98096.12697
3,2/22/2013,20034.20334
3,3/1/2013,74809.24734
3,3/8/2013,298309.1702
3,3/15/2013,473016.7279
3,3/22/2013,409059.6663
3,3/29/2013,213910.2659
3,4/5/2013,365449.6899
3,4/12/2013,95394.93146
3,4/19/2013,302660.5264
3,4/26/2013,18546.54944
3,5/3/2013,240733.4675
3,5/10/2013,243345.0285
3,5/17/2013,269497.0452
3,5/24/2013,115114.8546
3,5/31/2013,69424.04406
3,6/7/2013,151262.9218
3,6/14/2013,118725.4017
3,6/21/2013,287043.9706
3,6/28/2013,160981.1721
3,7/5/2013,25567.09172
3,7/12/2013,404226.6111
3,7/19/2013,73290.78322
3,7/26/2013,380802.0039
