rowid,country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,cadence,month
1,Italy,Italy,0,2014-12-29,2015-01-04,7,2015,1,59240330,15178,0,TBC,weekly,
2,Italy,Italy,0,2015-01-05,2015-01-11,7,2015,2,59240330,15811,0,TBC,weekly,
3,Italy,Italy,0,2015-01-12,2015-01-18,7,2015,3,59240330,15480,0,TBC,weekly,
4,Italy,Italy,0,2015-01-19,2015-01-25,7,2015,4,59240330,14922,0,TBC,weekly,
5,Italy,Italy,0,2015-01-26,2015-02-01,7,2015,5,59240330,15228,0,TBC,weekly,
6,Italy,Italy,0,2015-02-02,2015-02-08,7,2015,6,59240330,15640,0,TBC,weekly,
7,Italy,Italy,0,2015-02-09,2015-02-15,7,2015,7,59240330,15510,0,TBC,weekly,
8,Italy,Italy,0,2015-02-16,2015-02-22,7,2015,8,59240330,15149,0,TBC,weekly,
9,Italy,Italy,0,2015-02-23,2015-03-01,7,2015,9,59240330,14544,0,TBC,weekly,
10,Italy,Italy,0,2015-03-02,2015-03-08,7,2015,10,59240330,14211,0,TBC,weekly,
11,Italy,Italy,0,2015-03-09,2015-03-15,7,2015,11,59240330,13846,0,TBC,weekly,
12,Italy,Italy,0,2015-03-16,2015-03-22,7,2015,12,59240330,13455,0,TBC,weekly,
13,Italy,Italy,0,2015-03-23,2015-03-29,7,2015,13,59240330,13126,0,TBC,weekly,
14,Italy,Italy,0,2015-03-30,2015-04-05,7,2015,14,59240330,12832,0,TBC,weekly,
15,Italy,Italy,0,2015-04-06,2015-04-12,7,2015,15,59240330,12811,0,TBC,weekly,
16,Italy,Italy,0,2015-04-13,2015-04-19,7,2015,16,59240330,12781,0,TBC,weekly,
17,Italy,Italy,0,2015-04-20,2015-04-26,7,2015,17,59240330,12046,0,TBC,weekly,
18,Italy,Italy,0,2015-04-27,2015-05-03,7,2015,18,59240330,11946,0,TBC,weekly,
19,Italy,Italy,0,2015-05-04,2015-05-10,7,2015,19,59240330,12177,0,TBC,weekly,
20,Italy,Italy,0,2015-05-11,2015-05-17,7,2015,20,59240330,11518,0,TBC,weekly,
21,Italy,Italy,0,2015-05-18,2015-05-24,7,2015,21,59240330,11058,0,TBC,weekly,
22,Italy,Italy,0,2015-05-25,2015-05-31,7,2015,22,59240330,10848,0,TBC,weekly,
23,Italy,Italy,0,2015-06-01,2015-06-07,7,2015,23,59240330,12060,0,TBC,weekly,
24,Italy,Italy,0,2015-06-08,2015-06-14,7,2015,24,59240330,11447,0,TBC,weekly,
25,Italy,Italy,0,2015-06-15,2015-06-21,7,2015,25,59240330,10591,0,TBC,weekly,
26,Italy,Italy,0,2015-06-22,2015-06-28,7,2015,26,59240330,10808,0,TBC,weekly,
27,Italy,Italy,0,2015-06-29,2015-07-05,7,2015,27,59240330,11819,0,TBC,weekly,
28,Italy,Italy,0,2015-07-06,2015-07-12,7,2015,28,59240330,13269,0,TBC,weekly,
29,Italy,Italy,0,2015-07-13,2015-07-19,7,2015,29,59240330,13303,0,TBC,weekly,
30,Italy,Italy,0,2015-07-20,2015-07-26,7,2015,30,59240330,14555,0,TBC,weekly,
31,Italy,Italy,0,2015-07-27,2015-08-02,7,2015,31,59240330,12009,0,TBC,weekly,
32,Italy,Italy,0,2015-08-03,2015-08-09,7,2015,32,59240330,12595,0,TBC,weekly,
33,Italy,Italy,0,2015-08-10,2015-08-16,7,2015,33,59240330,11716,0,TBC,weekly,
34,Italy,Italy,0,2015-08-17,2015-08-23,7,2015,34,59240330,10619,0,TBC,weekly,
35,Italy,Italy,0,2015-08-24,2015-08-30,7,2015,35,59240330,11116,0,TBC,weekly,
36,Italy,Italy,0,2015-08-31,2015-09-06,7,2015,36,59240330,11352,0,TBC,weekly,
37,Italy,Italy,0,2015-09-07,2015-09-13,7,2015,37,59240330,10629,0,TBC,weekly,
38,Italy,Italy,0,2015-09-14,2015-09-20,7,2015,38,59240330,11358,0,TBC,weekly,
39,Italy,Italy,0,2015-09-21,2015-09-27,7,2015,39,59240330,10687,0,TBC,weekly,
40,Italy,Italy,0,2015-09-28,2015-10-04,7,2015,40,59240330,11228,0,TBC,weekly,
41,Italy,Italy,0,2015-10-05,2015-10-11,7,2015,41,59240330,11624,0,TBC,weekly,
42,Italy,Italy,0,2015-10-12,2015-10-18,7,2015,42,59240330,11389,0,TBC,weekly,
43,Italy,Italy,0,2015-10-19,2015-10-25,7,2015,43,59240330,11834,0,TBC,weekly,
44,Italy,Italy,0,2015-10-26,2015-11-01,7,2015,44,59240330,11722,0,TBC,weekly,
45,Italy,Italy,0,2015-11-02,2015-11-08,7,2015,45,59240330,11850,0,TBC,weekly,
46,Italy,Italy,0,2015-11-09,2015-11-15,7,2015,46,59240330,11629,0,TBC,weekly,
47,Italy,Italy,0,2015-11-16,2015-11-22,7,2015,47,59240330,11689,0,TBC,weekly,
48,Italy,Italy,0,2015-11-23,2015-11-29,7,2015,48,59240330,11738,0,TBC,weekly,
49,Italy,Italy,0,2015-11-30,2015-12-06,7,2015,49,59240330,12501,0,TBC,weekly,
50,Italy,Italy,0,2015-12-07,2015-12-13,7,2015,50,59240330,12491,0,TBC,weekly,
51,Italy,Italy,0,2015-12-14,2015-12-20,7,2015,51,59240330,12463,0,TBC,weekly,
52,Italy,Italy,0,2015-12-21,2015-12-27,7,2015,52,59240330,12560,0,TBC,weekly,
53,Italy,Italy,0,2015-12-28,2016-01-03,7,2015,53,59240330,13218,0,TBC,weekly,
54,Italy,Italy,0,2016-01-04,2016-01-10,7,2016,1,59240330,13517,0,TBC,weekly,
55,Italy,Italy,0,2016-01-11,2016-01-17,7,2016,2,59240330,13055,0,TBC,weekly,
56,Italy,Italy,0,2016-01-18,2016-01-24,7,2016,3,59240330,13545,0,TBC,weekly,
57,Italy,Italy,0,2016-01-25,2016-01-31,7,2016,4,59240330,13388,0,TBC,weekly,
58,Italy,Italy,0,2016-02-01,2016-02-07,7,2016,5,59240330,12997,0,TBC,weekly,
59,Italy,Italy,0,2016-02-08,2016-02-14,7,2016,6,59240330,13168,0,TBC,weekly,
60,Italy,Italy,0,2016-02-15,2016-02-21,7,2016,7,59240330,12685,0,TBC,weekly,
61,Italy,Italy,0,2016-02-22,2016-02-28,7,2016,8,59240330,12709,0,TBC,weekly,
62,Italy,Italy,0,2016-02-29,2016-03-06,7,2016,9,59240330,12772,0,TBC,weekly,
63,Italy,Italy,0,2016-03-07,2016-03-13,7,2016,10,59240330,12845,0,TBC,weekly,
64,Italy,Italy,0,2016-03-14,2016-03-20,7,2016,11,59240330,12887,0,TBC,weekly,
65,Italy,Italy,0,2016-03-21,2016-03-27,7,2016,12,59240330,12525,0,TBC,weekly,
66,Italy,Italy,0,2016-03-28,2016-04-03,7,2016,13,59240330,12725,0,TBC,weekly,
67,Italy,Italy,0,2016-04-04,2016-04-10,7,2016,14,59240330,12291,0,TBC,weekly,
68,Italy,Italy,0,2016-04-11,2016-04-17,7,2016,15,59240330,11822,0,TBC,weekly,
69,Italy,Italy,0,2016-04-18,2016-04-24,7,2016,16,59240330,11594,0,TBC,weekly,
70,Italy,Italy,0,2016-04-25,2016-05-01,7,2016,17,59240330,11420,0,TBC,weekly,
71,Italy,Italy,0,2016-05-02,2016-05-08,7,2016,18,59240330,11595,0,TBC,weekly,
72,Italy,Italy,0,2016-05-09,2016-05-15,7,2016,19,59240330,11422,0,TBC,weekly,
73,Italy,Italy,0,2016-05-16,2016-05-22,7,2016,20,59240330,10950,0,TBC,weekly,
74,Italy,Italy,0,2016-05-23,2016-05-29,7,2016,21,59240330,11509,0,TBC,weekly,
75,Italy,Italy,0,2016-05-30,2016-06-05,7,2016,22,59240330,10842,0,TBC,weekly,
76,Italy,Italy,0,2016-06-06,2016-06-12,7,2016,23,59240330,11030,0,TBC,weekly,
77,Italy,Italy,0,2016-06-13,2016-06-19,7,2016,24,59240330,10766,0,TBC,weekly,
78,Italy,Italy,0,2016-06-20,2016-06-26,7,2016,25,59240330,11442,0,TBC,weekly,
79,Italy,Italy,0,2016-06-27,2016-07-03,7,2016,26,59240330,11247,0,TBC,weekly,
80,Italy,Italy,0,2016-07-04,2016-07-10,7,2016,27,59240330,11293,0,TBC,weekly,
81,Italy,Italy,0,2016-07-11,2016-07-17,7,2016,28,59240330,11324,0,TBC,weekly,
82,Italy,Italy,0,2016-07-18,2016-07-24,7,2016,29,59240330,11170,0,TBC,weekly,
83,Italy,Italy,0,2016-07-25,2016-07-31,7,2016,30,59240330,11042,0,TBC,weekly,
84,Italy,Italy,0,2016-08-01,2016-08-07,7,2016,31,59240330,10991,0,TBC,weekly,
85,Italy,Italy,0,2016-08-08,2016-08-14,7,2016,32,59240330,10606,0,TBC,weekly,
86,Italy,Italy,0,2016-08-15,2016-08-21,7,2016,33,59240330,11144,0,TBC,weekly,
87,Italy,Italy,0,2016-08-22,2016-08-28,7,2016,34,59240330,11193,0,TBC,weekly,
88,Italy,Italy,0,2016-08-29,2016-09-04,7,2016,35,59240330,10748,0,TBC,weekly,
89,Italy,Italy,0,2016-09-05,2016-09-11,7,2016,36,59240330,10479,0,TBC,weekly,
90,Italy,Italy,0,2016-09-12,2016-09-18,7,2016,37,59240330,10584,0,TBC,weekly,
91,Italy,Italy,0,2016-09-19,2016-09-25,7,2016,38,59240330,10321,0,TBC,weekly,
92,Italy,Italy,0,2016-09-26,2016-10-02,7,2016,39,59240330,11094,0,TBC,weekly,
93,Italy,Italy,0,2016-10-03,2016-10-09,7,2016,40,59240330,11158,0,TBC,weekly,
94,Italy,Italy,0,2016-10-10,2016-10-16,7,2016,41,59240330,12362,0,TBC,weekly,
95,Italy,Italy,0,2016-10-17,2016-10-23,7,2016,42,59240330,12060,0,TBC,weekly,
96,Italy,Italy,0,2016-10-24,2016-10-30,7,2016,43,59240330,11816,0,TBC,weekly,
97,Italy,Italy,0,2016-10-31,2016-11-06,7,2016,44,59240330,11744,0,TBC,weekly,
98,Italy,Italy,0,2016-11-07,2016-11-13,7,2016,45,59240330,11889,0,TBC,weekly,
99,Italy,Italy,0,2016-11-14,2016-11-20,7,2016,46,59240330,12476,0,TBC,weekly,
100,Italy,Italy,0,2016-11-21,2016-11-27,7,2016,47,59240330,12146,0,TBC,weekly,
101,Italy,Italy,0,2016-11-28,2016-12-04,7,2016,48,59240330,12205,0,TBC,weekly,
102,Italy,Italy,0,2016-12-05,2016-12-11,7,2016,49,59240330,12543,0,TBC,weekly,
103,Italy,Italy,0,2016-12-12,2016-12-18,7,2016,50,59240330,13262,0,TBC,weekly,
104,Italy,Italy,0,2016-12-19,2016-12-25,7,2016,51,59240330,14861,0,TBC,weekly,
105,Italy,Italy,0,2016-12-26,2017-01-01,7,2016,52,59240330,16489,0,TBC,weekly,
106,Italy,Italy,0,2017-01-02,2017-01-08,7,2017,1,59240330,18072,0,TBC,weekly,
107,Italy,Italy,0,2017-01-09,2017-01-15,7,2017,2,59240330,18990,0,TBC,weekly,
108,Italy,Italy,0,2017-01-16,2017-01-22,7,2017,3,59240330,17973,0,TBC,weekly,
109,Italy,Italy,0,2017-01-23,2017-01-29,7,2017,4,59240330,16487,0,TBC,weekly,
110,Italy,Italy,0,2017-01-30,2017-02-05,7,2017,5,59240330,15747,0,TBC,weekly,
111,Italy,Italy,0,2017-02-06,2017-02-12,7,2017,6,59240330,14081,0,TBC,weekly,
112,Italy,Italy,0,2017-02-13,2017-02-19,7,2017,7,59240330,13852,0,TBC,weekly,
113,Italy,Italy,0,2017-02-20,2017-02-26,7,2017,8,59240330,13290,0,TBC,weekly,
114,Italy,Italy,0,2017-02-27,2017-03-05,7,2017,9,59240330,13148,0,TBC,weekly,
115,Italy,Italy,0,2017-03-06,2017-03-12,7,2017,10,59240330,12917,0,TBC,weekly,
116,Italy,Italy,0,2017-03-13,2017-03-19,7,2017,11,59240330,12783,0,TBC,weekly,
117,Italy,Italy,0,2017-03-20,2017-03-26,7,2017,12,59240330,12602,0,TBC,weekly,
118,Italy,Italy,0,2017-03-27,2017-04-02,7,2017,13,59240330,12300,0,TBC,weekly,
119,Italy,Italy,0,2017-04-03,2017-04-09,7,2017,14,59240330,11848,0,TBC,weekly,
120,Italy,Italy,0,2017-04-10,2017-04-16,7,2017,15,59240330,12084,0,TBC,weekly,
121,Italy,Italy,0,2017-04-17,2017-04-23,7,2017,16,59240330,11553,0,TBC,weekly,
122,Italy,Italy,0,2017-04-24,2017-04-30,7,2017,17,59240330,11972,0,TBC,weekly,
123,Italy,Italy,0,2017-05-01,2017-05-07,7,2017,18,59240330,12050,0,TBC,weekly,
124,Italy,Italy,0,2017-05-08,2017-05-14,7,2017,19,59240330,11859,0,TBC,weekly,
125,Italy,Italy,0,2017-05-15,2017-05-21,7,2017,20,59240330,11635,0,TBC,weekly,
126,Italy,Italy,0,2017-05-22,2017-05-28,7,2017,21,59240330,11538,0,TBC,weekly,
127,Italy,Italy,0,2017-05-29,2017-06-04,7,2017,22,59240330,11554,0,TBC,weekly,
128,Italy,Italy,0,2017-06-05,2017-06-11,7,2017,23,59240330,10878,0,TBC,weekly,
129,Italy,Italy,0,2017-06-12,2017-06-18,7,2017,24,59240330,11494,0,TBC,weekly,
130,Italy,Italy,0,2017-06-19,2017-06-25,7,2017,25,59240330,11700,0,TBC,weekly,
131,Italy,Italy,0,2017-06-26,2017-07-02,7,2017,26,59240330,11164,0,TBC,weekly,
132,Italy,Italy,0,2017-07-03,2017-07-09,7,2017,27,59240330,11170,0,TBC,weekly,
133,Italy,Italy,0,2017-07-10,2017-07-16,7,2017,28,59240330,11642,0,TBC,weekly,
134,Italy,Italy,0,2017-07-17,2017-07-23,7,2017,29,59240330,11117,0,TBC,weekly,
135,Italy,Italy,0,2017-07-24,2017-07-30,7,2017,30,59240330,11091,0,TBC,weekly,
136,Italy,Italy,0,2017-07-31,2017-08-06,7,2017,31,59240330,13013,0,TBC,weekly,
137,Italy,Italy,0,2017-08-07,2017-08-13,7,2017,32,59240330,13993,0,TBC,weekly,
138,Italy,Italy,0,2017-08-14,2017-08-20,7,2017,33,59240330,11673,0,TBC,weekly,
139,Italy,Italy,0,2017-08-21,2017-08-27,7,2017,34,59240330,10922,0,TBC,weekly,
140,Italy,Italy,0,2017-08-28,2017-09-03,7,2017,35,59240330,11110,0,TBC,weekly,
141,Italy,Italy,0,2017-09-04,2017-09-10,7,2017,36,59240330,10542,0,TBC,weekly,
142,Italy,Italy,0,2017-09-11,2017-09-17,7,2017,37,59240330,10787,0,TBC,weekly,
143,Italy,Italy,0,2017-09-18,2017-09-24,7,2017,38,59240330,10976,0,TBC,weekly,
144,Italy,Italy,0,2017-09-25,2017-10-01,7,2017,39,59240330,11456,0,TBC,weekly,
145,Italy,Italy,0,2017-10-02,2017-10-08,7,2017,40,59240330,11562,0,TBC,weekly,
146,Italy,Italy,0,2017-10-09,2017-10-15,7,2017,41,59240330,12010,0,TBC,weekly,
147,Italy,Italy,0,2017-10-16,2017-10-22,7,2017,42,59240330,11902,0,TBC,weekly,
148,Italy,Italy,0,2017-10-23,2017-10-29,7,2017,43,59240330,11929,0,TBC,weekly,
149,Italy,Italy,0,2017-10-30,2017-11-05,7,2017,44,59240330,11761,0,TBC,weekly,
150,Italy,Italy,0,2017-11-06,2017-11-12,7,2017,45,59240330,12238,0,TBC,weekly,
151,Italy,Italy,0,2017-11-13,2017-11-19,7,2017,46,59240330,12478,0,TBC,weekly,
152,Italy,Italy,0,2017-11-20,2017-11-26,7,2017,47,59240330,12418,0,TBC,weekly,
153,Italy,Italy,0,2017-11-27,2017-12-03,7,2017,48,59240330,12555,0,TBC,weekly,
154,Italy,Italy,0,2017-12-04,2017-12-10,7,2017,49,59240330,13051,0,TBC,weekly,
155,Italy,Italy,0,2017-12-11,2017-12-17,7,2017,50,59240330,13501,0,TBC,weekly,
156,Italy,Italy,0,2017-12-18,2017-12-24,7,2017,51,59240330,13467,0,TBC,weekly,
157,Italy,Italy,0,2017-12-25,2017-12-31,7,2017,52,59240330,14956,0,TBC,weekly,
158,Italy,Italy,0,2018-01-01,2018-01-07,7,2018,1,59240330,16245,0,TBC,weekly,
159,Italy,Italy,0,2018-01-08,2018-01-14,7,2018,2,59240330,15947,0,TBC,weekly,
160,Italy,Italy,0,2018-01-15,2018-01-21,7,2018,3,59240330,15234,0,TBC,weekly,
161,Italy,Italy,0,2018-01-22,2018-01-28,7,2018,4,59240330,14698,0,TBC,weekly,
162,Italy,Italy,0,2018-01-29,2018-02-04,7,2018,5,59240330,14551,0,TBC,weekly,
163,Italy,Italy,0,2018-02-05,2018-02-11,7,2018,6,59240330,13844,0,TBC,weekly,
164,Italy,Italy,0,2018-02-12,2018-02-18,7,2018,7,59240330,14034,0,TBC,weekly,
165,Italy,Italy,0,2018-02-19,2018-02-25,7,2018,8,59240330,14026,0,TBC,weekly,
166,Italy,Italy,0,2018-02-26,2018-03-04,7,2018,9,59240330,14406,0,TBC,weekly,
167,Italy,Italy,0,2018-03-05,2018-03-11,7,2018,10,59240330,14197,0,TBC,weekly,
168,Italy,Italy,0,2018-03-12,2018-03-18,7,2018,11,59240330,13306,0,TBC,weekly,
169,Italy,Italy,0,2018-03-19,2018-03-25,7,2018,12,59240330,12417,0,TBC,weekly,
170,Italy,Italy,0,2018-03-26,2018-04-01,7,2018,13,59240330,12793,0,TBC,weekly,
171,Italy,Italy,0,2018-04-02,2018-04-08,7,2018,14,59240330,12404,0,TBC,weekly,
172,Italy,Italy,0,2018-04-09,2018-04-15,7,2018,15,59240330,12140,0,TBC,weekly,
173,Italy,Italy,0,2018-04-16,2018-04-22,7,2018,16,59240330,11917,0,TBC,weekly,
174,Italy,Italy,0,2018-04-23,2018-04-29,7,2018,17,59240330,11742,0,TBC,weekly,
175,Italy,Italy,0,2018-04-30,2018-05-06,7,2018,18,59240330,11060,0,TBC,weekly,
176,Italy,Italy,0,2018-05-07,2018-05-13,7,2018,19,59240330,11030,0,TBC,weekly,
177,Italy,Italy,0,2018-05-14,2018-05-20,7,2018,20,59240330,10857,0,TBC,weekly,
178,Italy,Italy,0,2018-05-21,2018-05-27,7,2018,21,59240330,11329,0,TBC,weekly,
179,Italy,Italy,0,2018-05-28,2018-06-03,7,2018,22,59240330,11317,0,TBC,weekly,
180,Italy,Italy,0,2018-06-04,2018-06-10,7,2018,23,59240330,10996,0,TBC,weekly,
181,Italy,Italy,0,2018-06-11,2018-06-17,7,2018,24,59240330,11091,0,TBC,weekly,
182,Italy,Italy,0,2018-06-18,2018-06-24,7,2018,25,59240330,11003,0,TBC,weekly,
183,Italy,Italy,0,2018-06-25,2018-07-01,7,2018,26,59240330,10550,0,TBC,weekly,
184,Italy,Italy,0,2018-07-02,2018-07-08,7,2018,27,59240330,11146,0,TBC,weekly,
185,Italy,Italy,0,2018-07-09,2018-07-15,7,2018,28,59240330,11117,0,TBC,weekly,
186,Italy,Italy,0,2018-07-16,2018-07-22,7,2018,29,59240330,11180,0,TBC,weekly,
187,Italy,Italy,0,2018-07-23,2018-07-29,7,2018,30,59240330,11132,0,TBC,weekly,
188,Italy,Italy,0,2018-07-30,2018-08-05,7,2018,31,59240330,12305,0,TBC,weekly,
189,Italy,Italy,0,2018-08-06,2018-08-12,7,2018,32,59240330,12469,0,TBC,weekly,
190,Italy,Italy,0,2018-08-13,2018-08-19,7,2018,33,59240330,11204,0,TBC,weekly,
191,Italy,Italy,0,2018-08-20,2018-08-26,7,2018,34,59240330,11189,0,TBC,weekly,
192,Italy,Italy,0,2018-08-27,2018-09-02,7,2018,35,59240330,10851,0,TBC,weekly,
193,Italy,Italy,0,2018-09-03,2018-09-09,7,2018,36,59240330,11008,0,TBC,weekly,
194,Italy,Italy,0,2018-09-10,2018-09-16,7,2018,37,59240330,11098,0,TBC,weekly,
195,Italy,Italy,0,2018-09-17,2018-09-23,7,2018,38,59240330,11177,0,TBC,weekly,
196,Italy,Italy,0,2018-09-24,2018-09-30,7,2018,39,59240330,10903,0,TBC,weekly,
197,Italy,Italy,0,2018-10-01,2018-10-07,7,2018,40,59240330,11485,0,TBC,weekly,
198,Italy,Italy,0,2018-10-08,2018-10-14,7,2018,41,59240330,11614,0,TBC,weekly,
199,Italy,Italy,0,2018-10-15,2018-10-21,7,2018,42,59240330,11593,0,TBC,weekly,
200,Italy,Italy,0,2018-10-22,2018-10-28,7,2018,43,59240330,11891,0,TBC,weekly,
201,Italy,Italy,0,2018-10-29,2018-11-04,7,2018,44,59240330,11551,0,TBC,weekly,
202,Italy,Italy,0,2018-11-05,2018-11-11,7,2018,45,59240330,11805,0,TBC,weekly,
203,Italy,Italy,0,2018-11-12,2018-11-18,7,2018,46,59240330,11811,0,TBC,weekly,
204,Italy,Italy,0,2018-11-19,2018-11-25,7,2018,47,59240330,12532,0,TBC,weekly,
205,Italy,Italy,0,2018-11-26,2018-12-02,7,2018,48,59240330,12391,0,TBC,weekly,
206,Italy,Italy,0,2018-12-03,2018-12-09,7,2018,49,59240330,12739,0,TBC,weekly,
207,Italy,Italy,0,2018-12-10,2018-12-16,7,2018,50,59240330,12827,0,TBC,weekly,
208,Italy,Italy,0,2018-12-17,2018-12-23,7,2018,51,59240330,13306,0,TBC,weekly,
209,Italy,Italy,0,2018-12-24,2018-12-30,7,2018,52,59240330,13426,0,TBC,weekly,
210,Italy,Italy,0,2018-12-31,2019-01-06,7,2019,1,59240330,14168,0,TBC,weekly,
211,Italy,Italy,0,2019-01-07,2019-01-13,7,2019,2,59240330,14863,0,TBC,weekly,
212,Italy,Italy,0,2019-01-14,2019-01-20,7,2019,3,59240330,15325,0,TBC,weekly,
213,Italy,Italy,0,2019-01-21,2019-01-27,7,2019,4,59240330,15360,0,TBC,weekly,
214,Italy,Italy,0,2019-01-28,2019-02-03,7,2019,5,59240330,15807,0,TBC,weekly,
215,Italy,Italy,0,2019-02-04,2019-02-10,7,2019,6,59240330,15228,0,TBC,weekly,
216,Italy,Italy,0,2019-02-11,2019-02-17,7,2019,7,59240330,15072,0,TBC,weekly,
217,Italy,Italy,0,2019-02-18,2019-02-24,7,2019,8,59240330,14674,0,TBC,weekly,
218,Italy,Italy,0,2019-02-25,2019-03-03,7,2019,9,59240330,14605,0,TBC,weekly,
219,Italy,Italy,0,2019-03-04,2019-03-10,7,2019,10,59240330,13827,0,TBC,weekly,
220,Italy,Italy,0,2019-03-11,2019-03-17,7,2019,11,59240330,13344,0,TBC,weekly,
221,Italy,Italy,0,2019-03-18,2019-03-24,7,2019,12,59240330,12655,0,TBC,weekly,
222,Italy,Italy,0,2019-03-25,2019-03-31,7,2019,13,59240330,12486,0,TBC,weekly,
